# OLD VERSION<tab>OLD RETURN<tab>OLD NAME<tab>OLD ARGS<tab>NEW VERSION<tab>NEW RETURN<tab>NEW NAME<tab>NEW ARGS<tab>NOTES
# OLD VERSION<tab>type<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
# OLD VERSION<tab>enum<tab>OLD NAME<tab>-<tab>NEW VERSION<tab>type<tab>NEW NAME<tab>-<tab>NOTES
#
# Functions
#
0.9.21	-	-	-	0.9.22	rasqal_xsd_decimal*	rasqal_xsd_datetime_get_seconds_as_decimal	(rasqal_world* world, rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_set_from_timeval	(rasqal_xsd_datetime *dt, struct timeval *tv)	-
0.9.21	-	-	-	0.9.22	int	rasqal_xsd_datetime_set_from_unixtime	(rasqal_xsd_datetime* dt, time_t clock)	-
0.9.21	-	-	-	0.9.22	time_t	rasqal_xsd_datetime_get_as_unixtime	(rasqal_xsd_datetime* dt)	-
0.9.21	-	-	-	0.9.22	struct timeval*	rasqal_xsd_datetime_get_as_timeval	(rasqal_xsd_datetime *dt)	-
0.9.21	-	-	-	0.9.22	char*	rasqal_xsd_datetime_get_timezone_as_counted_string	(rasqal_xsd_datetime *dt, size_t *len_p)	-
0.9.22	-	-	-	0.9.23	raptor_sequence*	rasqal_graph_pattern_get_flattened_triples	(rasqal_query* query, rasqal_graph_pattern* graph_pattern)	-
0.9.23	-	-	-	0.9.24	raptor_sequence*	rasqal_graph_pattern_get_flattened_triples	(rasqal_query* query, rasqal_graph_pattern* graph_pattern)	-
0.9.24	-	-	-	0.9.25	char*	rasqal_xsd_datetime_get_tz_as_counted_string	(rasqal_xsd_datetime* dt, size_t *len_p)	-
0.9.24	-	-	-	0.9.25	int	rasqal_xsd_decimal_abs	(rasqal_xsd_decimal* result, rasqal_xsd_decimal* a)	-
0.9.24	-	-	-	0.9.25	int	rasqal_xsd_decimal_round	(rasqal_xsd_decimal* result, rasqal_xsd_decimal* a)	-
0.9.24	-	-	-	0.9.25	int	rasqal_xsd_decimal_ceil	(rasqal_xsd_decimal* result, rasqal_xsd_decimal* a)	-
0.9.24	-	-	-	0.9.25	int	rasqal_xsd_decimal_floor	(rasqal_xsd_decimal* result, rasqal_xsd_decimal* a)	-
0.9.24	-	-	-	0.9.25	rasqal_evaluation_context*	rasqal_new_evaluation_context	(rasqal_world* world, raptor_locator* locator, int flags)	-
0.9.24	-	-	-	0.9.25	void	rasqal_free_evaluation_context	(rasqal_evaluation_context* eval_context)	-
0.9.24	-	-	-	0.9.25	int	rasqal_evaluation_context_set_base_uri	(rasqal_evaluation_context* eval_context, raptor_uri *base_uri)	-
0.9.24	-	-	-	0.9.25	int	rasqal_evaluation_context_set_rand_seed	(rasqal_evaluation_context* eval_context, unsigned int seed)	-
0.9.24	-	-	-	0.9.25	rasqal_literal*	rasqal_expression_evaluate2	(rasqal_expression *e, rasqal_evaluation_context* eval_context, int *error_p)	-
0.9.24	-	-	-	0.9.25	const raptor_syntax_description*	rasqal_world_get_query_language_description	(rasqal_world* world, unsigned int counter)	-
0.9.25	-	-	-	0.9.26	int	rasqal_world_set_warning_level	(rasqal_world* world, unsigned int warning_level)	-
0.9.26	-	-	-	0.9.27	rasqal_literal*	rasqal_new_numeric_literal_from_long	(rasqal_world* world, rasqal_literal_type type, long value)	-
0.9.26	-	-	-	0.9.27	long	rasqal_xsd_decimal_get_long	(rasqal_xsd_decimal* dec, int* error_p)	-
0.9.26	-	-	-	0.9.27	void	rasqal_query_set_wildcard	(rasqal_query* query, int wildcard)	-
0.9.26	-	-	-	0.9.27	int	rasqal_query_has_variable2	(rasqal_query* query, rasqal_variable_type type, const unsigned char *name)	-
0.9.26	-	-	-	0.9.27	int	rasqal_query_set_variable2	(rasqal_query* query, rasqal_variable_type type, const unsigned char *name, rasqal_literal* value)	-
0.9.26	-	-	-	0.9.27	int	rasqal_variables_table_add_variable	(rasqal_variables_table* vt, rasqal_variable* variable)	-
0.9.26	-	-	-	0.9.27	rasqal_variable*	rasqal_variables_table_get_by_name	(rasqal_variables_table* vt, rasqal_variable_type type, const unsigned char *name)	-
0.9.26	-	-	-	0.9.27	int	rasqal_variables_table_contains	(rasqal_variables_table* vt, rasqal_variable_type type, const unsigned char *name)	-
0.9.27	-	-	-	0.9.28	rasqal_expression*	rasqal_new_4op_expression	(rasqal_world* world, rasqal_op op, rasqal_expression* arg1, rasqal_expression* arg2, rasqal_expression* arg3, rasqal_expression* arg4)	-
0.9.28	-	-	-	0.9.29	rasqal_xsd_date*	rasqal_new_xsd_date	(rasqal_world* world, const char *date_string)	-
0.9.28	-	-	-	0.9.29	void	rasqal_free_xsd_date	(rasqal_xsd_date* d)	-
